,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27,ap28,ap29,ap30,ap31,ap32,ap33,ap34,ap35,ap36,ap37,ap38,ap39,ap40,ap41,result_x,result_y
42,-58,0,0,0,0,0,0,0,0,0,0,-47,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,-87,0,0,0,0,0,0,-47,0,-78,-63,0,20.667435353223492,-103.46434962004423
43,-68,0,0,-80,0,0,0,0,0,0,0,-51,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,-81,0,0,0,-89,0,0,0,0,0,0,-49,0,-73,-64,0,20.667435353223492,-103.46434962004423
44,-63,0,0,-80,0,0,0,0,0,0,0,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,-89,0,0,0,0,0,0,-47,0,-74,-59,0,20.667435353223492,-103.46434962004423
45,-69,0,0,-80,0,0,0,0,0,0,0,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,-89,0,0,0,0,0,0,-49,0,-74,-66,0,20.667435353223492,-103.46434962004423
46,-71,0,0,0,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,-73,-53,0,20.667435353223492,-103.46434962004423
47,-71,0,0,0,0,0,0,0,0,0,0,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,-76,-56,0,20.667435353223492,-103.46434962004423
48,-74,0,0,0,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,-75,-60,0,20.667435353223492,-103.46434962004423
49,-76,0,0,0,0,0,0,0,0,0,0,-47,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,-55,0,-75,-55,0,20.667435353223492,-103.46434962004423
50,-72,0,0,0,0,0,0,0,0,0,0,-48,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,-83,0,0,0,0,0,0,0,0,0,0,-55,0,-67,-62,0,20.667435353223492,-103.46434962004423
51,-69,0,0,0,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,-80,0,0,0,0,0,0,0,0,0,0,-52,0,-63,-61,0,20.667435353223492,-103.46434962004423
