,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,result_x,result_y
65,0,-91,0,-71,-43,0,-61,-81,0,-73,-80,-91,-88,-88,0,0,-84,0,-88,-81,0,0,2,0
66,0,0,0,-72,-46,0,-68,-82,0,-74,-78,0,0,-91,0,0,-86,0,0,-81,0,0,2,0
67,0,0,0,-72,-46,0,-62,-82,0,-74,0,0,0,-88,0,0,-87,0,-85,-83,0,0,2,0
68,0,0,0,-72,-46,0,-60,-81,0,-77,-79,0,0,-89,0,0,-87,0,0,-83,0,0,2,0
69,-95,0,0,-72,-46,0,-63,-82,0,-76,-84,0,0,-89,0,0,-88,0,0,-82,0,0,2,0
70,0,0,0,-72,-53,0,-66,-79,0,-80,0,0,0,-92,0,0,-88,0,0,-84,0,0,2,0
71,0,0,0,-70,-45,0,-64,-84,0,-79,0,0,0,-86,0,0,-87,0,-93,-81,0,0,2,0
72,0,0,0,-70,-45,0,-67,-83,0,0,0,0,0,-92,0,0,-88,0,-93,-83,0,0,2,0
73,0,0,0,-63,-41,0,-62,-79,0,-68,0,0,0,-83,0,0,-82,0,0,-80,0,0,2,2
74,0,0,0,-63,-39,0,-57,-78,0,-70,0,0,0,-83,0,0,0,0,0,-85,0,0,2,2
75,0,0,0,-74,-40,0,-57,-75,0,-68,0,0,0,0,0,0,-85,0,-84,-83,0,-90,2,2
76,0,0,0,-65,-44,0,-57,-79,0,-67,0,0,0,-91,0,0,0,0,-82,-84,0,0,2,2
77,0,0,0,-62,-46,0,-57,-78,0,-69,0,0,0,-83,0,0,0,0,0,-82,0,0,2,2
78,0,0,0,-71,-45,0,-66,-76,0,-69,-84,0,0,0,0,0,-83,0,0,-80,0,-89,2,2
79,0,0,0,-71,-48,0,-66,-72,0,-77,-84,0,-84,-92,0,0,-82,0,0,-80,0,0,2,2
80,0,0,0,-61,-55,0,-66,-70,0,-68,0,0,0,-88,0,0,-82,0,0,-77,0,-91,2,2
81,0,0,0,-63,-36,0,-47,-81,0,-71,-80,0,0,-82,0,0,-87,0,0,-81,0,0,2,4
82,0,0,0,-65,-38,0,-51,-81,-92,-78,0,0,0,0,0,0,-82,0,-80,-87,0,0,2,4
83,0,0,0,-65,-46,0,-49,-74,0,-71,-76,0,0,0,0,0,0,0,-81,-81,0,0,2,4
84,0,0,0,-64,-46,0,-47,-81,0,-75,0,0,0,-84,0,0,0,0,-82,-82,0,0,2,4
85,0,0,0,-64,-42,0,-49,-80,0,-73,0,0,0,-85,0,0,-92,0,-80,-84,0,-94,2,4
86,0,-92,0,-67,-34,0,-53,-77,0,-73,-76,0,-76,-88,0,0,0,0,-83,-78,0,0,2,4
87,0,0,-78,-66,-43,0,-47,-76,0,-83,0,0,-79,-88,0,0,0,0,-81,-79,0,0,2,4
88,0,0,0,-66,-43,0,-50,-74,0,-80,-77,0,-76,-88,0,0,-89,0,-81,-79,0,0,2,4
89,-86,0,0,-69,-46,0,-57,-80,0,-74,0,0,-68,-75,0,0,-84,0,-78,-89,0,0,2,6
90,0,0,0,-69,-51,0,-62,-81,0,-80,-73,0,-70,-78,0,0,-86,0,-76,-90,0,0,2,6
91,0,0,0,-73,-56,0,-65,-87,0,-82,-73,0,-76,-80,0,0,-86,0,-77,-89,0,0,2,6
92,0,0,0,-69,-50,0,-61,-77,0,-79,-71,0,-78,-74,0,0,0,0,-77,-89,0,0,2,6
93,0,0,0,-76,-49,0,-58,-76,0,-79,-70,0,-73,-76,0,0,0,0,-78,-89,0,0,2,6
94,0,0,0,-69,-49,0,-55,-78,0,-74,-78,0,-66,-76,0,0,-87,0,-74,-91,0,0,2,6
95,-85,0,-82,-69,-48,0,-56,-80,0,-77,-73,0,-64,-78,0,0,-92,0,-73,-90,0,0,2,6
96,-85,0,-87,-71,-52,0,-55,-78,0,-74,-75,0,-68,-80,0,0,-92,0,-72,-89,0,0,2,6
