,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27,ap28,ap29,ap30,ap31,ap32,ap33,ap34,ap35,ap36,ap37,result_x,result_y
26,-69,-62,0,0,0,0,-82,0,-83,0,-76,0,0,-74,-81,-78,0,0,0,0,0,-80,0,0,0,0,-60,-76,0,-79,-79,0,-78,0,-84,-83,-77,-83,0,1
27,-83,-78,0,0,0,0,0,0,-84,0,-87,0,0,-82,-91,-80,0,-79,0,0,0,-69,-79,0,-91,0,-64,-76,0,0,0,0,-88,0,-90,-79,0,-89,0,2
28,-71,-66,0,0,0,0,0,0,-86,-88,-87,0,0,-83,-86,-77,0,0,0,0,0,-69,0,0,-91,0,-58,-77,0,-84,-77,0,-86,0,-83,-80,0,-89,0,2
29,-79,-65,0,0,0,0,-85,0,-80,-88,-83,0,0,-75,-85,-81,0,-79,0,0,0,-74,-82,0,0,0,-61,-76,0,-82,-77,0,-75,0,-83,-83,0,0,0,2
30,0,-77,0,0,0,0,-86,0,-88,0,0,0,-82,-76,-86,-79,-93,-83,0,0,0,-72,0,0,0,0,-65,-84,0,-87,0,0,-91,0,0,-87,0,-89,0,3
31,-78,-69,0,0,0,0,-78,0,-84,0,-75,0,-79,-72,-86,-76,0,-83,0,0,0,-70,0,-90,0,0,-61,-69,0,-79,-75,-76,-75,0,-75,-79,0,0,0,3
32,-76,-69,0,0,0,0,-77,0,-85,0,-75,0,-79,-77,-85,-73,0,-79,0,0,0,-62,0,-90,0,0,-61,-78,0,-83,-75,-86,-72,0,-83,-79,0,-88,0,3
33,-72,-68,0,0,0,0,-77,0,-85,0,-77,0,0,-71,-85,-73,0,-75,0,0,0,-62,0,0,0,0,-64,-73,-80,-83,0,-86,-66,0,-79,0,0,-88,0,4
34,-75,-70,0,0,0,0,-83,0,-81,0,-85,0,0,-77,-81,-74,0,-76,0,0,0,-73,-86,0,-84,0,-55,-73,-80,-85,-81,0,-71,0,-72,-74,0,0,0,4
35,-73,-62,0,0,0,0,-78,0,-83,0,-79,0,0,-77,-80,-74,0,-76,0,0,0,-67,-86,0,0,0,-63,-71,0,-83,-81,0,-70,0,-73,-73,0,0,0,4
36,-76,-78,0,0,0,0,-84,0,-87,0,-81,0,0,-81,-83,-82,0,0,0,0,-82,-77,0,0,0,0,-70,-83,-80,-82,-74,-89,-90,0,-89,-84,0,-85,0,5
37,-78,-74,0,0,0,0,-84,0,-83,-93,-77,0,0,-73,-82,-72,0,0,0,0,-82,-74,0,-87,0,-89,-62,-72,0,-80,-79,0,-72,0,-77,-80,0,0,0,5
38,-78,-74,0,0,0,0,-76,0,-78,-93,-77,0,-84,-77,-76,-73,0,0,0,0,0,-69,0,-87,0,-89,-64,-75,0,-80,-79,0,-68,0,-83,-80,0,0,0,5
39,-84,-71,0,0,0,0,-83,0,-82,0,-84,0,-77,-76,-90,-81,0,0,0,0,0,-72,-86,0,0,0,-72,-77,0,-89,-80,0,-79,0,-79,-84,0,-82,1,0
40,-77,-73,0,0,0,0,-88,0,-83,0,-79,0,-86,-70,-85,-77,0,0,0,0,0,-73,-88,0,0,0,-61,-73,0,-83,0,0,-76,0,-76,-84,0,0,1,0
41,-72,-65,0,0,0,-94,-80,0,-80,0,-77,0,-77,-71,-86,-79,0,0,0,0,0,-68,0,0,0,0,-62,-74,0,-83,0,0,-82,0,-79,-79,0,-84,1,0
42,-72,-78,0,0,0,0,-88,0,-84,-82,-74,0,0,-82,-87,-82,0,0,0,0,0,-82,0,0,0,0,-70,-82,-82,-84,0,0,-89,0,-86,-88,0,0,1,5
43,-73,-75,0,0,0,0,-86,0,-73,0,-78,0,-82,-74,-83,-80,0,0,0,0,0,-82,0,0,0,0,-61,-74,-82,-83,-76,-78,-89,0,-76,-82,0,0,1,5
44,-73,-68,0,0,0,0,-86,0,-81,0,-77,0,-82,-73,-79,-82,0,0,0,0,0,-81,0,0,0,0,-57,-73,0,-79,-76,-78,-70,0,-76,-82,0,0,1,5
45,-76,-76,0,0,0,-94,-81,0,-90,0,-76,0,-77,-83,-90,-91,0,0,0,0,0,-75,-85,0,0,0,-65,-88,-92,0,-80,0,-92,0,-90,-84,0,-83,2,0
46,-71,-67,0,0,0,0,-77,0,-86,0,-73,0,0,-75,-87,-76,0,0,0,0,0,-67,-85,0,0,0,-65,-73,-92,-80,0,0,-90,0,-90,-80,0,-83,2,0
47,-73,-69,-88,0,0,-93,-80,0,-87,0,-76,-85,-75,-71,-83,-75,0,-78,0,0,-78,-67,-83,0,0,0,-63,-75,0,-80,0,0,-79,0,0,-76,0,0,2,0
48,-74,-78,0,0,0,0,-85,0,-92,0,-79,0,-84,-86,-84,-75,0,0,0,0,0,-74,0,0,0,0,-68,-84,0,-84,-76,0,-82,0,-78,-79,0,0,2,5
