,ap0,ap1,ap2,ap3,ap4,result_x,result_y
39,-69.9920555614,-66.5284348605,-80.8893544956,-102.65871788,-80.0468152058,0,2
40,-69.0547779884,-64.6301582135,-81.6397165122,-103.418280288,-75.7325932246,0,4
41,-70.6945202063,-64.864797539,-81.7757457315,-103.38659991,-76.3591761347,0,4
42,-67.9989858057,-64.4562730497,-80.392270331,-103.4306189,-77.0707200367,0,4
43,-68.9011198677,-65.0325072989,-81.6030861112,-102.136879256,-76.4209016181,0,4
44,-69.6584038072,-63.1239871579,-82.8569084255,-102.071535812,-78.0542923245,0,4
45,-68.9965657978,-65.016057901,-79.8079275206,-103.573908603,-77.2828143591,0,4
46,-68.7316386991,-64.722736478,-82.4181436504,-102.914384199,-76.6103804028,0,4
47,-70.2197952458,-63.2638292698,-82.0696433275,-103.970903266,-75.2990851119,0,4
48,-68.6476494566,-66.2850312021,-80.593821334,-102.460003126,-76.064845293,0,4
49,-68.511062027,-63.7819855699,-80.9714971373,-104.953386716,-76.6566431474,0,4
50,-70.1266176223,-64.4469447821,-81.7501017322,-104.073134236,-76.1847565135,0,4
51,-67.1064973169,-65.4030870937,-82.3471144796,-103.472160326,-76.2106469641,0,4
52,-69.9351530292,-62.230041467,-79.4301113468,-103.347450014,-74.8108005935,0,4
53,-68.6538659391,-64.5180810854,-81.8859598734,-104.317008652,-75.8611263491,0,4
54,-69.4930288643,-65.3364610601,-83.0080693114,-103.657899928,-75.1211797039,0,4
55,-69.4384515552,-63.3543304102,-82.9273153815,-102.927018426,-76.0344040544,0,4
56,-69.1366108415,-65.2058797425,-80.5359553525,-104.434508183,-77.2181432306,0,4
57,-69.6687868203,-65.7793110977,-80.5907289096,-105.002883308,-75.1629443717,0,4
58,-68.1707739663,-63.6646196621,-84.1181546784,-101.117626172,-77.3491919952,0,4
59,-69.5269520313,-64.1571102988,-81.9642681231,-102.48020529,-76.7306542009,0,4
60,-67.3502809495,-64.7673035003,-81.6047554977,-103.377584034,-77.5595753556,0,6
61,-67.6121284924,-66.7829800127,-81.2044032325,-103.049635064,-78.5998746992,0,6
