,ap0,ap1,ap2,ap3,ap4,result_x,result_y
125,-80.9124398556,-75.8021676047,-65.1652538201,-66.8598663573,-51.850821631,24,10
126,-89.7250328118,-70.9784607688,-66.3833137209,-70.0084993526,-47.7035625164,24,12
127,-88.613812064,-71.5484039456,-72.6297665134,-77.3621067606,-39.3268370397,24,14
128,-88.6167645124,-76.6314279384,-71.4516012851,-74.8967399341,-36.4133008056,24,16
129,-88.590967172,-73.6140267816,-72.5609150867,-75.763989354,-46.076115659,24,18
130,-83.2631163182,-80.0550954276,-61.1327458116,-69.9910099188,-66.6837144848,26,0
131,-83.0634796921,-80.0737223153,-61.0987297428,-69.979632822,-70.4867474791,26,2
132,-83.0014775646,-80.068088222,-61.3107119882,-73.3850763053,-69.0641592435,26,4
133,-76.5718808772,-80.0361775558,-61.66078593,-70.7384451947,-67.3616812245,26,6
134,-75.6588828022,-77.0973902523,-62.2377783826,-67.5998697179,-59.8884151929,26,8
135,-82.232765657,-76.9154399424,-66.5399053286,-68.2610866333,-57.2139398812,26,10
136,-89.3638020423,-77.0049098428,-67.5093880114,-72.3544467478,-53.4079598064,26,12
137,-89.3378189626,-72.3551887198,-73.0952334341,-73.4878263132,-44.739742978,26,14
138,-89.3403161403,-72.7780543876,-69.6702133766,-74.4989801431,-44.0820281691,26,16
139,-89.318529706,-77.7866133541,-70.4961203211,-71.3183251349,-47.9052345844,26,18
140,-88.9574192278,-86.5624664048,-68.9334691047,-62.5190624381,-71.7254061642,28,0
141,-87.0340662793,-86.5975323267,-68.9291381478,-62.4330255265,-70.4996420453,28,2
142,-83.7068163275,-86.5867173402,-68.9494419795,-65.3595922932,-69.0655398394,28,4
143,-77.564144109,-86.5285090629,-68.9422951608,-63.0854384184,-67.3330179591,28,6
144,-76.4631526809,-83.68269301,-66.9239126606,-66.0780505802,-60.4328554163,28,8
145,-82.8021936926,-76.4413936436,-64.551711625,-70.4046246976,-58.077752211,28,10
146,-95.9303699015,-77.946292203,-64.9977553444,-63.9892563064,-59.8475705964,28,12
147,-95.5204744118,-80.587567916,-73.5766869468,-65.5656186311,-56.1518851932,28,14
148,-95.5238794278,-80.9938066946,-77.8345867756,-66.7231519889,-56.0692317811,28,16
149,-95.4942926553,-78.5685647114,-78.4581285705,-72.1478200663,-56.6348055651,28,18
150,-89.5446320751,-87.472458929,-70.7666400577,-59.9321050836,-71.701588778,30,0
151,-89.5653834504,-87.5008371117,-70.7636787662,-59.7789537714,-70.4499693093,30,2
152,-81.6622482508,-87.4920654488,-70.7796735343,-61.0592401607,-68.9760459742,30,4
153,-78.538151786,-87.4451305323,-70.787839923,-60.4597385641,-63.1531901773,30,6
154,-82.6804652172,-84.3742982623,-73.2950545057,-67.8870501226,-65.0695261033,30,8
155,-83.6781751334,-78.9172603724,-68.900192097,-61.9107074782,-63.8143541722,30,10
156,-99.0024574871,-78.8265800532,-66.3771368362,-63.4886466345,-60.444700716,30,12
157,-96.1411959316,-81.3081743974,-66.9631508612,-69.6748295588,-59.8852617061,30,14
158,-96.1441454881,-81.6176628236,-74.9728536076,-71.0392262603,-59.8487474451,30,16
159,-96.1185243037,-82.0012540676,-75.8298461634,-69.5333908334,-60.1275335263,30,18
160,-93.4662718444,-93.7978283936,-77.7851437518,-51.0775215202,-74.6020377876,32,0
161,-90.1964497024,-93.8350040315,-77.7903088186,-50.4225932984,-73.9733291934,32,2
162,-89.2456114137,-93.8234668695,-77.7524566221,-51.432951747,-72.4988340115,32,4
163,-85.5952196309,-93.7624053119,-77.6542814101,-56.5267969556,-67.4614976286,32,6
164,-83.4282591212,-85.8405513732,-72.5953483584,-59.1973673076,-66.5282305042,32,8
165,-89.9993399751,-79.8295769826,-74.9056946771,-61.3274659604,-65.600222934,32,10
166,-97.8959827377,-78.0604408116,-70.5113399228,-63.0609892149,-65.0396511063,32,12
167,-102.235425889,-87.5955269605,-79.0157627357,-69.743484782,-67.9880378264,32,14
168,-102.238966818,-87.3288521622,-72.5177345826,-71.0748040934,-67.9837839037,32,16
169,-102.208265545,-84.9772626362,-80.0171800345,-72.2255761864,-68.0055817901,32,18
